reg_no,facility_name,facility_type,facility_agent,level,county
16314,JARYEMM MEDCARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
16338,THIIRI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
16450,MIRIGAMIERU HEALTH SERVICES,MEDICAL CLINIC,Private,LEVEL 2,MERU
16479,BLOOMINGDALE ROSES KENYA LIMITED,MEDICAL CLINIC,Private,LEVEL 2,MERU
16550,MEMRET CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
16578,WARIDI FAMILY HEALTHCARE CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MERU
16774,JEKIM HOSPITAL NKUBU LTD,HOSPITAL LEVEL 4,Private,LEVEL 4,MERU
16800,TIRO MEDICAL CLINIC KWAKANAKE MARKET,MEDICAL CLINIC,Private,LEVEL 2,MERU
16801,TIRO MEDICAL CLINIC KIPKONA MARKET,MEDICAL CLINIC,Private,LEVEL 2,MERU
16819,FLAMINGO OLIVE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
16843,THE JUMULI MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,MERU
16893,SEASONS-KAUTHA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
16940,KANGUUTU MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
16957,FORTIS DIAGNOSTIC CENTRE & HOSPITAL,NURSING HOME,Private,LEVEL 3B,MERU
17050,KINORO IMANI CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
17057,AMM ACUMEN HEALTHCARE LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,MERU
17078,HIGHCARE MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
17124,GICHUNUKU INTERGRATED MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,MERU
17213,KIANDUGUI HEALTHY YOU MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,MERU
17355,NKUBU ANNEX MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,MERU
17377,WEMA BESTCARE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
17418,NALASOL MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
17447,EQUITY AFIA LIMITED MERU,MEDICAL CLINIC,Private,LEVEL 2,MERU
17543,PRECIOUS LIFE HEALTHCARE LTD,MEDICAL CLINIC,Private,LEVEL 2,MERU
17560,AROHA CANCER CENTRE LTD,MEDICAL CENTRE,Private,LEVEL 3A,MERU
17570,MILANO SPENSER MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
17586,A\'ANTU MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
17666,MAKUMED MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
17688,KIND MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,MERU
18069,RUTH GENERATION MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
18098,NTHARE CATHOLIC HEALTH CENTER,HEALTH CENTRE,Private,LEVEL 3B,MERU
18104,ST.RITA HOSPITAL TIMAU,NURSING HOME,Private,LEVEL 3B,MERU
18122,CIOLUBA FAMILY HEALTH CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
18146,GIFTON\'S MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
18152,CURRENT MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
18153,ROSKIM MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,MERU
18174,MARKA HEALTHCARE,MEDICAL CLINIC,Private,LEVEL 2,MERU
18186,KIRERA HUDUMA CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
18187,KAITHE CORNER MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
18275,AFYAMAX MEDICAL CLINIC-MERU,MEDICAL CLINIC,Private,LEVEL 2,MERU
18395,TARIJA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
18407,UNITED HEALTH GROUP LIMITED-MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MERU
18410,MERUCARE MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,MERU
18415,SIHA NJEMA HOSPITAL,MEDICAL CLINIC,Private,LEVEL 2,MERU
18433,SOUTHMARK MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
18447,KAMACHO MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
18453,ALOHA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
18488,TAANIA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
18499,REDSTAR MEDICAL SERVICES LIMITED,NURSING HOME,Private,LEVEL 3B,MERU
18513,HILLSPRING MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
18557,MERCYBECEJA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
18745,ROHMEC MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
18807,JENTOS MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
18815,PHILADELPHIA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
18861,GEM MEMORIAL HOSPITAL LTD,MEDICAL CLINIC,Private,LEVEL 2,MERU
18927,CROWNSTAR MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
18934,DOUBLEM MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
18975,PEMBA MEDICARE KANGETA,MEDICAL CLINIC,Private,LEVEL 2,MERU
18985,ZEKIM MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
19037,DUKE TREATMENT CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
19046,PILGRIMS MEDICAL AND SURGICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
19050,GUARDIAN HOSPITAL LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,MERU
19074,MEDIJOY HEALTH CARE,MEDICAL CLINIC,Private,LEVEL 2,MERU
19137,MILE SABA CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
19168,TWINS FAMILY HEALTH MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
19193,PIELI STAR HEALTHCARE SERVICES LIMITED,MEDICAL CLINIC,Private,LEVEL 2,MERU
19205,NKUBU HARMONY THERAPY CENTRE,REHABILITATION CEN,Private,LEVEL 3A,MERU
19305,JAPEX MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
19318,ELEMAMA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
19360,WINKS MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
19367,BISHOP LAWI MEDICAL CENTRE LTD,MEDICAL CENTRE,Private,LEVEL 3A,MERU
19448,THE CLIN-EVE HOSPITAL,MEDICAL CLINIC,Private,LEVEL 2,MERU
19468,LIFECARE HOSPITAL LIMITED-MERU,HOSPITAL LEVEL 4,Private,LEVEL 4,MERU
19505,UNIQUE MEDICAL CENTRE KIIRUA,MEDICAL CLINIC,Private,LEVEL 2,MERU
19535,JS MEDICAL CENTRE LTD,MEDICAL CENTRE,Private,LEVEL 3A,MERU
19569,EQUITY AFIA NKUBU,MEDICAL CENTRE,Private,LEVEL 3A,MERU
19625,TUTUA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
19628,ST.JOANKAIMU MEDICAL DIAGNOSTIC CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
19673,EQUITY AFIA MAUA,MEDICAL CLINIC,Private,LEVEL 2,MERU
19761,MT CARMEL MEDICAL AND SURGICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MERU
19766,JAMA ORTHOCARE CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MERU
19790,NEWMED MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
19872,AWESOME AVENUE MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MERU
19951,CHAARIA MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MERU
19978,ALMA SPRINGS MEDICARE,MEDICAL CENTRE,Private,LEVEL 3A,MERU
20056,PHILNET MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
20061,AFYAFOCUS MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
20063,MAUA COTTAGE HOSPITAL LIMITED,NURSING HOME,Private,LEVEL 3B,MERU
20183,JUMWA HEALTH CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
20220,CHRISTON MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
20270,NEWLIFE PSYCHIATRY HOSPITAL AND REHABILITATION CEN,MEDICAL CENTRE,Private,LEVEL 3A,MERU
20290,KENNYLAND MEDICAL CENTER LIMITED,MEDICAL CLINIC,Private,LEVEL 2,MERU
20423,LISTER MEDICAL CENTRE LIMITED,MEDICAL CLINIC,Private,LEVEL 2,MERU
20425,AOM MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,MERU
20432,JACKFLOW MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
20557,KEYLIFE MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,MERU
20561,TIANIA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
20567,GERTRUDE\'S GARDEN CHILDREN\'S HOSPITAL-MERU MEDI,MEDICAL CENTRE,Private,LEVEL 3A,MERU
20593,AAR HEALTH CARE(KENYA) LIMITED-MERU OUTPATIENT CEN,MEDICAL CENTRE,Private,LEVEL 3A,MERU
20647,FEKAMU MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MERU
20748,PEAK HILL MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MERU
20803,NEVLIGHT HOSPITAL LIMITED,MEDICAL CLINIC,Private,LEVEL 2,MERU
20879,KENDI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
20919,MERU AVENUE MEDICAL PLAZA,MEDICAL CLINIC,Private,LEVEL 2,MERU
21099,PULSE SIGHT MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MERU
21106,TUMTUZE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MERU
180,ST. KIZITO HEALTH CENTRE,HEALTH CENTRE,Private,LEVEL 3B,MIGORI
200,ROYAL MEDICAL HOSPITAL AND MATERNITY HOME LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
240,OJELE MEMORIAL HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
317,SORI LAKESIDE HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
327,ORUBA NURSING & MATERNITY HOME,NURSING HOME,Private,LEVEL 3B,MIGORI
470,RAPOGI COMMUNITY & MATERNITY HEALTH CENTRE,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
645,SUNA NURSING AND MATERNITY HOME,NURSING HOME,Private,LEVEL 3B,MIGORI
717,ST. AKIDIVA MEMORIAL HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
735,LADOPHARMA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
1452,MAMA MARIA CLINIC,MATERNITY HOME,Private,LEVEL 3B,MIGORI
2071,KEHANCHA MOTHER & CHILD HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
2077,BRASE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
2378,ROSEWOOD NURSING HOME,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
2962,STAR-HEAL MEDICAL CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
2982,ST. AKIDIVA MINDIRA HOSPITAL MABERA,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
3290,MAMA NURSING HOME KABABU,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
3356,GETONTIRA MEDICAL CENTRE( NURSING HOME),NURSING HOME,Private,LEVEL 3B,MIGORI
3535,NTIMARU MEDICARE SERVICES,NURSING HOME,Private,LEVEL 3B,MIGORI
3666,ALPHA COMMUNITY NURSING HOME,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
3670,MEDIANA HEALTH CARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
4061,BOMA MEDICARE LIMITED,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
4393,ST PAUL\'S DAWA MEDICAL CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
4414,SONY SUGAR MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
4466,MOTHER SOLBRIT HEALTH CENTRE,NURSING HOME,Private,LEVEL 3B,MIGORI
5437,OASIS DOCTORS PLAZA MIGORI,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
5556,SAMJOMEN HOSPITAL LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
5584,RONGO JAMII DENTAL CLINIC,DENTAL CLINIC,Private,LEVEL 2,MIGORI
6197,ALLANCE COMMUNITY MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
6209,MIGORI HEALTH STATION,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
6210,LADOPHARMA NURSING HOME LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
6315,GODDCHA HEALTHCARE CENTRE,HEALTH CENTRE,Private,LEVEL 3B,MIGORI
6380,RET MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
6469,MINDIRA HOSPITAL  ISIBANIA,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
6554,MAMA FREDA MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,MIGORI
6651,NEOCARE MEMORIAL HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
6962,OASISCARE CENTRE ANDAPOL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
7086,SARE FAMILY MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
7101,MOSHI MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
7573,IKEREGE MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,MIGORI
14734,OVI CHILDREN'S HOSPITAL,NURSING HOME,Private,LEVEL 3B,MIGORI
15110,HOPLAN MEDICAL CENTER,NURSING HOME,Private,LEVEL 3B,MIGORI
15128,EMALIA COMMUNITY HEALTH CENTER,NURSING HOME,Private,LEVEL 3B,MIGORI
15163,KEBAROTI MISSION DISPENSARY,HEALTH CENTRE,Private,LEVEL 3B,MIGORI
15203,THE AGA KHAN HEALTH SERVICES - MIGORI,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
15360,RANEN OCHUNA MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
15520,NAMBA MEDICARE,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
15612,LADOPHARMA MEDICAL CENTRE-MASARA LTD,NURSING HOME,Private,LEVEL 3B,MIGORI
15661,KINGS NURSING & MATERNITY HOSPITAL LIMITED,NURSING HOME,Private,LEVEL 3B,MIGORI
15663,MABERA MATERNITY & NURSING HOME,NURSING HOME,Private,LEVEL 3B,MIGORI
15700,GETENDE NURSING HOME,NURSING HOME,Private,LEVEL 3B,MIGORI
15729,OASIS NTUNYIGI HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
15736,MEDFORCE MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
15781,SENYE MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,MIGORI
15841,UNGOE COMMUNITY MEDICAL AND DENTAL CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
15936,RELYNE MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
16070,NYARANGI MEDICAL CENTRE LTD,NURSING HOME,Private,LEVEL 3B,MIGORI
16119,NYABOHANSE MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,MIGORI
16141,ZIDKIJAH MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
16154,MAROATORA NURSING HOME,NURSING HOME,Private,LEVEL 3B,MIGORI
16173,ENOCKHAN HOSPITAL LTD,COTTAGE HOSPITAL,Private,LEVEL 3B,MIGORI
16455,RAGUDA HEALTHCARE,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
16499,NYAMASE MEDICAL CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
16573,PASLING MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,MIGORI
16606,BWANA NI MWEMA MEDICAL CENTRE,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
16668,ST MARCELLA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
16848,LIFESCOPE MEDICAL CENTER LIMITED,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
16982,MAMA ABIGAIL SMART CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
17347,MSAMWEMA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
17407,RIOSIRI CENTRE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
17752,KITERE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
17801,LIFECARE HOSPITAL MIGORI,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
17894,NEOGLOBAL MEDICARE LIMITED-NURSING HOME,NURSING HOME,Private,LEVEL 3B,MIGORI
17901,MASCO NURSING HOME,NURSING HOME,Private,LEVEL 3B,MIGORI
18134,ST MARY KACHUNGO BEST MEDICAL CLINIC AND LABORATO,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
18277,KONYA CARE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
18320,MAGDAK MATERNITY HOSPITAL LIMITED,NURSING HOME,Private,LEVEL 3B,MIGORI
18324,LION OF JUDAH MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
18355,NYABIKONGORI MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
18371,ROYAL DENTAL CLINIC - MIGORI,DENTAL CLINIC,Private,LEVEL 2,MIGORI
18887,CIRAL MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
19040,LEMI MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
19584,DARIS HEALTHCARE CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
19593,MANOTI TUMAINI MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
19914,ORIZON MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
19990,IMELA AFYA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
20121,REMSA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
20136,IGENA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
20222,JOSCURE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
20257,MACOGUNA CARE CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
20259,ASKAMA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
20269,BUKUMBURI MEDICAL CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
20296,DEDE HARMONY MEDICAL CENTRE AND MATERNITY HOME,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
20302,NYABURI BETTER LIVING NURSING HOME-NAMBA LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
20344,MODESTA ST.MARYS CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
20361,ROMICURE MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
20375,ISEBANIA PREVENTION CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
20464,IKEREGE LIFECARE MEDICAL CENTRE LTD,NURSING HOME,Private,LEVEL 3B,MIGORI
20527,ROYAL MEDICAL HOSPITAL AND MATERNITY HOME LIMITED-,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
20611,PENEZA HEALTHCARE LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,MIGORI
20778,QUEEN ESTHER ISEBANIA MODERN HOSPITAL LIMITED,NURSING HOME,Private,LEVEL 3B,MIGORI
20821,DARICY MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
20949,HEALTHVUE HOSPITAL,DENTAL CLINIC,Private,LEVEL 2,MIGORI
20957,RANEN HILLVIEW MEDICARE,MEDICAL CENTRE,Private,LEVEL 3A,MIGORI
20959,MAGALA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MIGORI
8,JOCHAM HOSPITAL LTD,HOSPITAL LEVEL 4,Private,LEVEL 4,MOMBASA
300,AAR HEALTH SERVICES HEALTH CARE -MOMBASA,MEDICAL CENTRE,Private,LEVEL 3A,MOMBASA
347,THE MOMBASA HOSPITAL ASSOCIATION,HOSPITAL LEVEL 4,Private,LEVEL 4,MOMBASA
478,MEDITRUST HEALTHCARE SERVICES,HEALTH CENTRE,Private,LEVEL 3B,MOMBASA
569,PANDYA MEMORIAL HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,MOMBASA
609,SAIFEE FOUNDATION MEDICAL CENTRE,HEALTH CENTRE,Private,LEVEL 3B,MOMBASA
619,THE AGA KHAN HOSPITAL MOMBASA,PRIVATE INTERNSHIP,Private,LEVEL 5,MOMBASA
629,AVENUE HEALTHCARE MOMBASA CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
661,INTERNATIONAL CENTRE FOR REPRODUCTIVE HEALTH CLIN,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
1164,TAYABI MEDICAL & DENTAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
1204,TUDOR HEALTH CARE LTD,NURSING HOME,Private,LEVEL 3B,MOMBASA
1210,K.P.A BANDARI STAFF CLINIC,NURSING HOME,Private,LEVEL 3B,MOMBASA
1211,K.P.A KIPEVU DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
1225,NYALI HEALTH CARE LTD,HEALTH CENTRE,Private,LEVEL 3B,MOMBASA
1407,BOMU MEDICAL CENTRE LIKONI,HEALTH CENTRE,Private,LEVEL 3B,MOMBASA
1514,JAFFERY MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
1528,AMURT LIKONI HEALTH CENTRE,HEALTH CENTRE,Private,LEVEL 3B,MOMBASA
1588,MOMBASA SERENA BEACH RESORT & SPA CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
1618,KHADIJA CENTRE,DISPENSARY,Private,LEVEL 2,MOMBASA
1702,SINGAWA MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MOMBASA
1703,KISMANI HEALTH CARE SERVICES,MEDICAL CENTRE,Private,LEVEL 3A,MOMBASA
1709,ST. VALERIA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
1726,ANSARI MEDICAL CLINIC & LABORATORY,HOSPITAL LEVEL 4,Private,LEVEL 4,MOMBASA
1743,TABASAMU DENTAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
1808,THE NYALI CHILDREN HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,MOMBASA
1857,ALFAROOQ HOSPITAL LTD,HOSPITAL LEVEL 4,Private,LEVEL 4,MOMBASA
1924,CALIFORNIA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
1929,BAHARI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
2132,MARY IMMACULATE COTTAGE HOSPITAL,HEALTH CENTRE,Private,LEVEL 3B,MOMBASA
2330,MOMBASA EYE HOSPITAL LTD,EYE HOSPITAL LEVEL,Private,LEVEL 4,MOMBASA
2385,TUMAINI CHILDREN\'S HOME OUTPATIENTS CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
2386,BOMU HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,MOMBASA
2396,SEASIDE MEDICAL FACILITY AND NURSING HOME,HOSPITAL LEVEL 4,Private,LEVEL 4,MOMBASA
2615,HEALTH SOURCE MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MOMBASA
2738,ST. THOMAS MATERNITY HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,MOMBASA
2778,MIKINDANI MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MOMBASA
2976,"AGA KHAN MEDICAL CENTRE, MTWAPA",MEDICAL CENTRE,Private,LEVEL 3A,MOMBASA
3033,"AGA KHAN MEDICAL CENTRE,  NYALI",MEDICAL CENTRE,Private,LEVEL 3A,MOMBASA
3071,NORTHSHORE MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MOMBASA
3194,MOMBASA EYE HOSPITAL CITY CENTRE CLINIC,EYE CLINIC,Private,LEVEL 2,MOMBASA
3224,THE BODO CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
3226,AFYA FIRST MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,MOMBASA
3232,TUDOR HEALTHCARE- MIKINDANI,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
3292,BAYLEAF HEALTH CENTRE,HOSPITAL LEVEL 4,Private,LEVEL 4,MOMBASA
3299,NAIROBI HOMES NURSING HOME LTD,HOSPITAL LEVEL 4,Private,LEVEL 4,MOMBASA
3307,AL-AQSAA MATERNITY HOSPITAL,MATERNITY HOME,Private,LEVEL 3B,MOMBASA
3334,GOROFANI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
3369,OCEAN SMILE DENTAL CLINIC,DENTAL CLINIC,Private,LEVEL 2,MOMBASA
3527,TUDOR HEALTHCARE -  LIKONI,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
3573,THE AGA KHAN HEALTH SERVICE KENYA DENTAL CLINIC,DENTAL CLINIC,Private,LEVEL 2,MOMBASA
3654,LEMACATE GLOBAL DENTAL CLINICS - KALOLENI,DENTAL CLINIC,Private,LEVEL 2,MOMBASA
3696,GERTRUDES GARDEN CHILDREN\'S HOSPITAL NYALI MEDIC,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
3736,GULF HEALTH CARE KENYA LIMITED,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
3844,NORTHSTAR ALLIANCE E.A -MOMBASA WELLNESS CENTRE,MEDICAL CLINIC,Private,LEVEL 2,MOMBASA
3896,"AGA KHAN MEDICAL CENTRE, CHANGAMWE",MEDICAL CENTRE,Private,LEVEL 3A,MOMBASA
3949,PRIMA MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,MOMBASA
