facility_name,reg_no,facility_type,level,county,status
KASOIYO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
KASOK DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
KASONGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
KASPHAT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIAMBU,ACTIVE
KASUKU HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYANDARUA,ACTIVE
KASUKU MEDICAL CARE CLINIC,007xxx,MEDICAL CLINIC,LEVEL 2,NYANDARUA,ACTIVE
KASUKU UKWELI MEDICAL CLINIC,015xxx,MEDICAL CLINIC,LEVEL 2,NYANDARUA,ACTIVE
KASUNGUNI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KASUNGUNI DISPENSARY - MAKUENI,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KASUROI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TURKANA,ACTIVE
KASYALA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KATABOI DISPENSARY,006xxx,FAITH BASED DISPENSARY,LEVEL 2,TURKANA,ACTIVE
KATALEL DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
KATALWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KATAM MEDICAL CENTRE LIMITED,018xxx,MEDICAL CLINIC,LEVEL 2,BARINGO,ACTIVE
KATANGI CATHOLIC MEDICAL CLINIC,000xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
KATANGI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MACHAKOS,ACTIVE
KATANGINI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,INACTIVE
KATANI DIVINE MEDICAL CENTRE,015xxx,MEDICAL CLINIC,LEVEL 2,MACHAKOS,ACTIVE
KATANI HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,MACHAKOS,ACTIVE
KATANI HOSPITAL LIMITED,015xxx,HOSPITAL LEVEL 4,LEVEL 4,MACHAKOS,ACTIVE
KATARET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BOMET,ACTIVE
KATARET MEDCARE CLINIC,019xxx,MEDICAL CLINIC,LEVEL 2,BOMET,ACTIVE
KATE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MARSABIT,ACTIVE
KATEE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
KATEES MEDICAL CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,NANDI,ACTIVE
KATHAANA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
KATHAMA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
KATHAMBONI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KATHANGACHINI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,THARAKA NITHI,ACTIVE
KATHANGARI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
KATHANGARIRI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
KATHANJE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
KATHANJURI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
KATHARI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
KATHATHANI MEDICAL CENTRE,003xxx,MEDICAL CENTRE,LEVEL 3B,THARAKA NITHI,ACTIVE
KATHEKA DISPENSARY,GK-xxx,HEALTH CENTRE,LEVEL 3A,MACHAKOS,ACTIVE
KATHEKANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KATHELWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KATHERI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MERU,ACTIVE
KATHIANI SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,MACHAKOS,ACTIVE
KATHIGU HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MERU,ACTIVE
KATHIMA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KATHIRANGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KATHITHINE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KATHOME DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KATHOME DISPENSARY MACHAKOS,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
KATHONGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KATHONZWENI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MAKUENI,ACTIVE
KATHUKINI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
KATHULUMBI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KATHUMA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KATHUMA DISPENSARY-KITUI,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KATHUNGI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KATHUNGURI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
KATHWANA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,THARAKA NITHI,ACTIVE
KATHWANA GK PRISON DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,THARAKA NITHI,ACTIVE
KATHYAKA DISPENSARY,GK-xxx,HEALTH CENTRE,LEVEL 3A,MAKUENI,ACTIVE
KATIBANGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
KATIBEL DISPENDARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
KATIKIT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
KATIKO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TURKANA,ACTIVE
KATILIA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TURKANA,ACTIVE
KATILINI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KATILINI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KITUI,ACTIVE
KATILO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,TURKANA,ACTIVE
KATIR DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TURKANA,ACTIVE
KATITO MEDICAL CENTRE,017xxx,MEDICAL CENTRE,LEVEL 3B,KISUMU,ACTIVE
KATITO MEDICAL CENTRE-KOLWENY ANNEX,020xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
KATITO MEDICAL CENTRE-MBITA,015xxx,HOSPITAL LEVEL 4,LEVEL 4,HOMA BAY,ACTIVE
KATITO MEDICAL CENTRE-SONDU,014xxx,MEDICAL CENTRE,LEVEL 3B,KISUMU,ACTIVE
KATITO SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KISUMU,ACTIVE
KATOLO MANYATTA HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
KATOPOTEN DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
KATOTE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
KATOTHYA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
KATSAKA KAIRU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,LAMU,ACTIVE
KATSE HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KITUI,ACTIVE
KATUIYO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,UASIN GISHU,ACTIVE
KATULANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KATULANI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MACHAKOS,ACTIVE
KATULANI SUB COUNTY HOSPITAL,GK-xxx,HEALTH CENTRE,LEVEL 3A,KITUI,ACTIVE
KATULO LIFE CARE HOSPITAL LIMITED,024xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
KATULU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KATULYE DISPENSARY - MAKUENI KARABA,GK-xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
KATULYE DISPENSARY MASINGA,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
KATULYE DISPENSARY-MAKUENI KIBWEZI,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KATUMANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
KATUMBU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KATUTU HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KITUI,ACTIVE
KATWALA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KATWANYAA REDEEMED MEDICAL CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,MACHAKOS,ACTIVE
KATYETHOKA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KATYETHOKA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KITUI,ACTIVE
KAU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TANA RIVER,ACTIVE
KAUJAIMIL STAFF CLINIC,021xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KAUMA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
KAUMA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KITUI,ACTIVE
KAUMU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KAUNES MEDICAL CENTRE-KIRIAINI,017xxx,MEDICAL CLINIC,LEVEL 2,THARAKA NITHI,ACTIVE
KAUNGUNI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KAURIONG DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
KAUTHULUNI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
KAUTI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KAUWI SUB-COUNTY HOSPITAL,GK-xxx,HEALTH CENTRE,LEVEL 3A,KITUI,ACTIVE
KAVALO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KAVANGOV CLINIC,016xxx,MEDICAL CLINIC,LEVEL 2,KAKAMEGA,ACTIVE
KAVATANZOU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KAVETE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KAVIANI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MACHAKOS,ACTIVE
KAVINDU HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KITUI,ACTIVE
KAVINGONI MEDICAL CLINIC,004xxx,MEDICAL CLINIC,LEVEL 2,MAKUENI,ACTIVE
KAVISUNI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KAVUKO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KAVULUDI'S SURGERY CENTER,019xxx,COTTAGE HOSPITAL,LEVEL 3A,VIHIGA,ACTIVE
KAVUMBU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KAVUMBU DISPENSARY-MACHAKOS,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
KAVUNYALALO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
KAVUNYALALO DISPENSARY-MALINDI,GK-xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
KAVUTA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KAVUTHU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KAVUTIRI CFW CLINIC,003xxx,MEDICAL CLINIC,LEVEL 2,EMBU,ACTIVE
KAVUVWANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KAWALA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KAWALASE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TURKANA,ACTIVE
KAWANGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
KAWAUNI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
KAWIRIA NURSING HOME,015xxx,NURSING HOME,LEVEL 3A,MERU,ACTIVE
KAWIRU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KAWONGO MEDICAL CENTRE,002xxx,MEDICAL CENTRE,LEVEL 3B,KITUI,ACTIVE
KAYANGOMBE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KAYATTA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
KAYAYA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUNGOMA,ACTIVE
KAYOLE 1 HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
KAYOLE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
KAYOLE HOSPITAL LTD,001xxx,NURSING HOME,LEVEL 3A,NAIROBI,ACTIVE
KAYOLE II SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,NAIROBI,ACTIVE
KAYOLE JUNCTION MEDICAL,016xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KAYOLE SOWETO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAIROBI,ACTIVE
KAYOS DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TRANS NZOIA,ACTIVE
KAYUYU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
KCA STUDENTS CLINIC,001xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KCA UNIVERSITY STUDENTS CLINIC-TOWN CAMPUS,023xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
KEA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
KEANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
KEBEN DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NANDI,ACTIVE
KEBEN DISPENSARY-KERICHO,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
KEBENETI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
KEDONG MEDICAL CENTRE,015xxx,MEDICAL CENTRE,LEVEL 3B,NAROK,ACTIVE
KEDOWA HEALTH CENTRE,GK-xxx,MEDICAL CLINIC,LEVEL 2,KERICHO,ACTIVE
KEE HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KEEN MEDICAL CENTER,019xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
KEEP SMILING DENTAL CLINIC PARKLANDS,007xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KEERA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
KEFRI STAFF CLINIC,GK-xxx,DISPENSARY,LEVEL 2,KIAMBU,ACTIVE
KEGINGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
KEGOGI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KISII,ACTIVE
KEGOGI NURSING HOME,020xxx,MEDICAL CENTRE,LEVEL 3B,KISII,INACTIVE
KEGONDI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,VIHIGA,ACTIVE
KEGONGA SUB-COUNTY HOSPITAL,GK-xxx,HEALTH CENTRE,LEVEL 3A,MIGORI,ACTIVE
KEGOYE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,VIHIGA,ACTIVE
KEHANCHA MOTHER & CHILD HOSPITAL,002xxx,HOSPITAL LEVEL 4,LEVEL 4,MIGORI,ACTIVE
KEHANCHA SUB COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,MIGORI,ACTIVE
KEIYO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TRANS NZOIA,ACTIVE
KEJIRIET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
KEKOPEY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
KELANI MEDICAL CENTRE,014xxx,MEDICAL CLINIC,LEVEL 2,KAKAMEGA,ACTIVE
KELESWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SAMBURU,ACTIVE
KELIEN HOSPITAL LIMITED,024xxx,NURSING HOME,LEVEL 3A,KIAMBU,ACTIVE
KELONGET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
KELSA FAMILY CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
KELUNET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
KELYN MEDICAL CENTER,021xxx,MEDICAL CLINIC,LEVEL 2,TANA RIVER,ACTIVE
KEMAKOBA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
KEMBU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BOMET,ACTIVE
KEMELOI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NANDI,ACTIVE
KEMERA MEDICAL CENTRE,004xxx,MEDICAL CENTRE,LEVEL 3B,NYAMIRA,INACTIVE
KEMIFAV MEDICAL CLINIC,021xxx,MEDICAL CLINIC,LEVEL 2,BUNGOMA,ACTIVE
KEMRI MEDICAL CENTRE,GK-xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
KEMU MEDICAL CENTRE,000xxx,MEDICAL CENTRE,LEVEL 3B,MERU,ACTIVE
KEMUMARA CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,KISII,INACTIVE
KEMUNCHUGU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
KENAFRIC INDUSTRIES LTD CLINIC,001xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KENAI SPINE AND ORTHOPAEDICS CENTRE,017xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
KENDI MEDICAL CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
KENDU ADVENTIST HOSPITAL,001xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,HOMA BAY,ACTIVE
KENDU MEDICAL LABORATORY SERVICE CENTRE,016xxx,MEDICAL CLINIC,LEVEL 2,HOMA BAY,ACTIVE
KENDU SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,HOMA BAY,ACTIVE
KENEGUT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
KENENE DISPENSARY,GK-xxx,HEALTH CENTRE,LEVEL 3A,KERICHO,ACTIVE
KENGEN GITARU STAFF CLINIC,002xxx,MEDICAL CLINIC,LEVEL 2,EMBU,ACTIVE
KENGEN MVUKE CLINIC,002xxx,HEALTH CENTRE,LEVEL 3A,NAKURU,ACTIVE
KENKOSELE MEDICAL CENTRE,021xxx,MEDICAL CLINIC,LEVEL 2,HOMA BAY,ACTIVE
KENLANDS HEALTH SERVICES NAKURU-MAILI SITA,004xxx,NURSING HOME,LEVEL 3A,NAKURU,ACTIVE
KENLEY MEDICAL CENTRE,020xxx,MEDICAL CENTRE,LEVEL 3B,KAJIADO,ACTIVE
KENMAT SWOP CLINIC,002xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KENNETH MATIBA DENTAL & EYE HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,MURANG'A,ACTIVE
KENNYLAND MEDICAL CENTER LIMITED,020xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
KENOL HOSPITAL LTD,001xxx,HOSPITAL LEVEL 4,LEVEL 4,MURANG'A,ACTIVE
KENSOM MEDICARE NURSING HOME,017xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
KENSYLUS MEDICAL CENTER,019xxx,MEDICAL CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
KENTALYA STAFF CLINIC NAIVASHA,000xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
KENTAP MEDICAL CENTER,020xxx,MEDICAL CLINIC,LEVEL 2,MACHAKOS,ACTIVE
KENTON GITWE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYANDARUA,ACTIVE
KENYA AIRWAYS MEDICAL CENTRE - PRIDE CENTRE,007xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
KENYA AIRWAYS MEDICAL CENTRE-JKIA CLINIC,022xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KENYA BREWERIES LIMITED HEALTHCARE CLINIC,016xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
KENYA BREWERIES LTD. CLINIC,001xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KENYA COMMUNITY HEALTH CLINIC MCK CIOTHIRAI,014xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KENYA CUTTINGS LIMITED,003xxx,MEDICAL CLINIC,LEVEL 2,MURANG'A,ACTIVE
KENYA INSTITUTE OF SPECIAL EDUCATION DISPENSARY,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,NAIROBI,ACTIVE
KENYA KAZI SERVICES,014xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KENYA NUT DISPENSARY,014xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
KENYA NUT MEDICAL CLINIC KIBOKO,014xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
KENYA OIL DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TURKANA,ACTIVE
KENYA ORTHODONTIC SERVICES LIMITED,017xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
KENYA PIPELINE COMPANY STAFF CLINIC,001xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KENYA SCIENCE STUDENTS CLINIC,GK-xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KENYA TEA PACKERS CLINIC,001xxx,MEDICAL CLINIC,LEVEL 2,KERICHO,ACTIVE
KENYA TECHNICAL TRAINING COLLEGE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAIROBI,ACTIVE
KENYA WOMEN AND CHILDREN WELLNESS CENTRE,023xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
KENYAGORO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BOMET,ACTIVE
KENYAMBI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYAMIRA,ACTIVE
KENYAMBI HEALTH CENTRE - KISII,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
KENYANUT COMPANY LTD KIAORA CLINIC,015xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
KENYATTA NATIONAL HOSPITAL,GK-xxx,NATIONAL TEACHING AND REFERRAL HOSPITAL,LEVEL 6A,NAIROBI,ACTIVE
KENYATTA NATIONAL HOSPITAL - OTHAYA,GK-xxx,SPECIALIZED TERTIARY REFERRAL HOSPITAL,LEVEL 6B,NYERI,ACTIVE
KENYATTA NATIONAL HOSPITAL PRIME CARE CENTRE,GK-xxx,SPECIALIZED TERTIARY REFERRAL HOSPITAL,LEVEL 6B,NAIROBI,ACTIVE
KENYATTA UNIVERSITY FUNERAL HOME,GK-xxx,FUNERAL HOME (STAND ALONE),LEVEL 2,NAIROBI,ACTIVE
KENYATTA UNIVERSITY HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
KENYATTA UNIVERSITY MOMBASA CAMPUS HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MOMBASA,ACTIVE
KENYATTA UNIVERSITY TEACHING AND RESEARCH HOSPITAL-MOBILE CLINIC,GK-xxx,MOBILE CLINIC,LEVEL 2,NAIROBI,ACTIVE
KENYATTA UNIVERSITY TEACHING REFERRAL AND RESEARCH HOSPITAL,GK-xxx,NATIONAL TEACHING AND REFERRAL HOSPITAL,LEVEL 6A,NAIROBI,ACTIVE
KENYENYA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYAMIRA,ACTIVE
KENYENYA MEDICAL AND DIAGNOSTIC CENTRE,006xxx,MEDICAL CENTRE,LEVEL 3B,KISII,ACTIVE
KENYENYA SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KISII,ACTIVE
KENYERERE HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYAMIRA,ACTIVE
KENYERERE HEALTH CENTRE - KISII,GK-xxx,HEALTH CENTRE,LEVEL 3A,KISII,ACTIVE
KENYERERE SUB-COUNTY HOSPITAL,GK-xxx,HEALTH CENTRE,LEVEL 3A,KISII,ACTIVE
KENYORO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
KENYORO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYAMIRA,ACTIVE
KERAGIA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
KEREITA FOREST DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIAMBU,ACTIVE
KERELWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
KERER DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
KERERI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NANDI,ACTIVE
KERERIA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,THARAKA NITHI,ACTIVE
KERICHO COUNTY REFFERAL HOSPITAL,GK-xxx,HOSPITAL LEVEL 5,LEVEL 5,KERICHO,ACTIVE
