Provider,03-Dec,05-Dec,11-Dec,18-Dec,23-Dec,09-Jan,30-Jan,03-Feb
KABATINI HEALTH CENTRE,"20,000",10900,70000,40000,10000,90000,,200000
KABETWA HEALTH CENTRE,,,10000,,20000,30000,,40000
KABIANGA HEALTH CENTRE,"10,000",,,,,,,10000
KABICHBICH HEALTH CENTRE,"10,000",900,114480,142400,30000,140000,1200,260000
Kabiyet Sub County Hospital,80000,,210000,163520,50160,360240,30000,595440
KABOLECHO COMMUNITY DISPENSARY,,,10000,20000,,10000,,
Kaborom Dispensary,,,40000,,,10000,,10000
Kaboywo Dispensary,,,10000,10000,,,,
Kabuchai Health Centre,"45,000",40000,20000,10000,,,33240,
KABULA HEALTH CENTRE,,,100000,130000,10000,270000,,460000
KABUNYERIA HEALTH CENTRE,,,10000,50000,,40000,10000,20000
KACHELIBA DISPENSARY AND MOBILE CLINIC,,,,20000,10000,79280,,110320
KACHELIBA DISTRICT HOSPITAL,,,130000,10000,,153360,,300000
Kadenge Ratuoro Health Centre,80000,40000,50000,70000,23440,133440,23280,178080
KADINDA HEALTH CENTRE,,,,20000,20000,10000,,20000
Kadzinuni Dispensary,,,30000,20000,,20000,10000,120000
Kagio Hospital,1932100,686320,3644440,1584110,1579030,3827340,4472060,3583670
Kagumo Health Centre,,,41000,20000,,10000,15000,10000
Kagumo Vision Medical Centre-Annex,"179,200",67200,448000,456960,192640,672000,87360,828800
KAGWA HEALTH CENTRE,,,,,10000,,,
Kahawa West Health Centre,"10,000",,370000,360000,120000,460900,89100,740900
Kahembe Health Centre,,,,10000,30000,70000,,40000
Kaiboi Mission Health Centre,"36,720",60000,83600,124960,40320,170640,10000,258720
Kaikor Health Centre,,,6720,130800,22400,69120,8960,99120
Kairuri Health Centre,,,10000,10000,,,,
Kaitui Dispensary,,,30000,,,,,
KAJIADO DISTRICT HOSPITAL,,,3347775,,,,,
KAJUKI HEALTH CENTRE,,,,,50000,70000,,40000
KAKAMEGA CENTRAL MATERNITY & NURSING HOME LIMITED,,,,,6720,30160,13440,67200
KAKAMEGA COUNTY GENERAL HOSPITAL,,4433312,14806624,6562326,4422744,14597600,1257933,18661790
KAKAMEGA ORTHOPAEDIC HOSPITAL,,,,,890960,5351818,,449200
Kako Health Centre,"20,000",,10000,30000,,,,50000
KAKONENI DISPENSARY,,,30000,90000,,,,30000
Kakuma Mission Hospital,"171,200",33600,312480,120960,36880,110880,124334,1053680
KAKUYUNI HEALTH CENTRE,,,,,30000,70000,,40000
Kalaacha Dispensary,,,,,10000,,,
KALACHA REFERAL SUB COUNTY HOSPITAL,,,10000,33600,36880,70000,,77120
Kalamaan Medical Center,,,745920,649600,152320,1818880,,1968960
Kalawa Sub County Hospital,"419,360",10000,488400,261360,80320,285040,,689680
Kaliani Health Centre,"10,000",,40000,30000,,10000,30000,20000
Kalimoni Mission Hospital (Juja),"316,960",6720,1373760,688400,290480,1376960,,1585280
KALIMONI MISSION HOSPITAL RUIRU BRANCH,,,40000,44800,50000,156720,,216160
Kalkaal Medical Centre,,,147840,407680,49280,745920,203840,795200
Kalokol health centre,"33,600",,533997,417520,262080,1101760,,1312560
Kalokol Medical Services,"4,480",,80640,481600,91840,792800,,1482800
Kalulini Health Centre (Kibwezi),,,,10000,,,10000,
Kaluo Health Centre,"20,000",,10000,20000,,30000,10000,112240
Kalyet Clinic (Kipkelion),,,20000,10000,20000,90000,,50000
KAMAGET DISPENSARY (TRANS MARA),,,,,10000,,,20000
KAMASENGERE DISPENSARY,,,,78080,,30000,,100640
Kambu Sub County Hospital,"482,400",123900,345540,483600,40160,800160,161900,1186800
KAMKETO DISPENSARY,,,,60000,20000,10000,,10000
Kamogo Health Centre,"50,000",10000,80000,60000,,50000,,50000
Kamoi Dispensary,"20,000",,50000,60000,10000,50000,,60000
KAMOKO HEALTH CENTRE,,,,20000,,,,30000
KAMUNERU DISPENSARY,,,69280,90320,34640,75680,,118240
Kamutei Health Centre,"20,000",,,,,,,
Kamwanda medical clinic,109760,,22400,31360,82880,403200,,439040
Kamwingi Dispensary,,,,20000,,,,
Kamwosor sub-county hospital,"207,120",50160,260160,110160,125660,431200,,651840
Kanakurudio Health Centre,,,,,10000,,,10000
KANAMAI HEALTH SERVICES,,,10000,40000,20000,190000,,320000
KANDARA HEALTH CENTRE,,,,,72240,610280,,767280
Kandiege Sub-District Hospital,"170,080",40000,861920,607440,399680,523680,345760,1232160
Kangaita Health Centre,"10,000",,30000,30000,,,10000,10000
Kangatosa Dispensary,,2240,,,,57040,,166000
KANGEMA SUB-DISTRICT HOSPITAL,,2700,11490,42560,14740,36560,,269680
KANGEMI HEALTH CENTRE,,90000,150000,180000,70000,270000,,330000
Kangeta SCH,"10,000",,30000,60000,,130240,,126880
KANGONDE HEALTH CENTRE,,,10000,10000,,40000,,40000
Kangundo Sub county Hospital,,,1283280,367760,438400,1950720,,2304640
Kanja Health Centre,"10,000",,10000,,,,,
Kanjara Dispensary,,,,,20000,110000,,20000
Kanusin Dispensary,,,,,10000,10000,,
Kanyakine sub County Hospital,"62,720",,1075200,439440,351280,964240,,812560
KANYANGI SUB-DISTRICT HOSPITAL,,,50080,211680,50400,366240,,678720
Kanzokea Health Centre,,,10000,,20000,20000,,60000
Kaparon Health Centre,,,110000,50000,,50000,,120000
Kapchelal Health Centre,,,10000,10000,,20000,,40000
KAPCHEROP HEALTH CENTRE,"141,500",,250000,140000,10000,350000,,380000
Kapenguria County Referral Hospital,,,2197520,1614440,717600,3178550,149200,3716780
Kapkateny Dispensary,,,,,20000,40000,,40000
KAPKATET SUB COUNTY HOSPITAL,5272739,2215758,7987380,4572310,2684700,6125640,,8552730
KAPKOI HEALTH CENTRE,,,20000,,,10000,,10000
Kapkoros Sub-County Hospital,,,160500,80000,20000,200000,30500,190000
Kapkoto Dispensary,,,10000,,,,10000,10000
Kapkures Health Centre (Nakuru West),,,41000,,50000,130000,,160000
KAPSABET HEALTH CARE CENTRE,,,448000,646960,483840,572320,,67200
Kapsait Dispensary,,,10000,40000,,20000,10000,30000
KAPSARA DISTRICT HOSPITAL,,,80000,111200,38960,300000,,225560
KAPSIGLAI DISPENSARY,,,20000,,20000,20000,,81000
KAPSOKWONY FAMILY CARE MEDICAL CENTRE,,,,26880,,154560,,887040
KAPSOWAR DISPENSARY,,,1800,,,,,
Kapsoya Health Centre,110000,50000,130000,100000,40000,20000,80000,50000
KAPTALAMWA HEALTH CENTRE,,,,20000,20000,80000,20000,130000
Kaptama (Friends) Health Centre,,2500,62400,97040,15680,229040,,352800
Kaptarakwa Sub-District Hospital,"148,960",,66720,124480,10000,138960,10000,211200
Kaptech Dispensary,,,20000,,,,,10000
Kapteldon Health Centre,80000,,125680,32240,,40000,44480,40000
Kapteren Health Centre,"30,900",50000,60000,30000,,50000,,30000
Kaptiony Dispensary (Marakwet),,,10000,,,,,
Kaptumo Sub-County Hospital,"70,000",,280000,190000,10000,310000,110000,573360
KAPWERIA DISPENSARY,"30,000",,,,,20000,,50000
Kapyego Health Centre,"130,000",10000,140000,20000,20000,60000,40000,240000
Karambuna Medical Clinic,"11,200",2300,26640,105280,,116480,,124240
Karangatha Health Centre,"40,000",,30000,20000,,10000,30000,20000
KARATI DISPENSARY,,,10000,,20000,,,
Karatina Sub-county Hospital,2635315,858869,3867292,1938160,1666160,4343040,318265,5882160
Karatu level 4 hospital,,,30000,,,,10000,20000
KAREN HOSPITAL LTD,,,475880,788570,925520,1372800,,1622280
Karima Health Centre,,,20000,20000,22240,73000,,179120
KARUMANDI HEALTH CENTRE,,,10200,,,,,
KARUMANDI MEDICAL CENTRE,,,,846720,89600,880320,15680,835520
Karungu Sub-County Hospital,72240,20000,103440,12240,10000,142240,18960,325840
KARURUMO RURAL HEALTHTRAINING CENTRE,,,,7000,,,7000,
Kasaala Health Centre,"50,000",20000,40000,20000,10000,50000,,50000
Kasarani Maternity,"376,160",198960,528080,330320,56880,776320,191520,835280
KASEMENI DISPENSARY,,,,,10000,10000,,
KASEWE DISPENSARY,,,,,10000,,,10000
Kasigau Rdch,,,9000,,,20000,,
KASUKU HEALTH CENTRE,,,,,100000,190000,,100000
Kasyala Dispensary,"30,000",,,,,80000,,20000
KATABOI DISPENSARY,,,,,20000,50000,,80000
Katani Hospital,,,13440,722920,107520,4905600,2724960,2741600
Kathiani Sub County Hospital,"10,000",,10000,83520,97200,365120,,733520
KATHONZWENI HEALTH CENTRE,,,,,270000,160000,,210000
KATHYAKA DISPENSARY,,,20000,10000,,20000,10000,10000
KATITO MEDICAL CENTRE-MBITA,,,,1981118,134320,693920,,671360
Katito Sub County Hospital,"20,890",10000,263384,486080,285360,646480,117600,781840
Katulani Sub County Hospital (Kitui),170080,,181840,61200,33600,194800,,303496
KATYETHOKA HEALTH CENTRE,,,10000,,,20000,,10000
KAUWI SUB-COUNTY HOSPITAL,,,,,210000,534500,,310000
Kavumbu Dispensary,,,10000,,,,10000,
Kawiria Maternity Home,,,,46880,25680,79120,,56720
Kayole I Health Centre,"40,000",,380000,320000,160000,310000,90000,530000
Kayole II Sub County Hospital,"911,000",510000,1541000,950000,340000,1500000,640000,1980000
Kebaroti Dispensary,"8,960",,20000,,,,,69440
Kedowa Dispensary,,,10000,,10000,,10000,
Kegogi Health Centre,,,10000,20000,,50000,30000,30000
Kegondi Health Centre,,,44480,66880,2240,112240,13440,74480
Kehancha Nursing and Maternity Home,"87,360",16800,265440,383040,295680,1165760,,886720
KEHANCHA SUB-COUNTY HOSPITAL,,,,,287040,598480,,679120
KELONGET DISPENSARY,,,,,10000,,,10000
KEMELOI HEALTH CENTRE,,,30000,20000,,20000,,70000
Kendu Adventist Hospital,"264,960",34650,3497150,1933630,776610,3347070,1429800,4543890
KENDU SUB-DISTRICT HOSPTAL,,,55800,,,,,
Kenol Hospital,3722850,1096480,7421086,3131230,813500,4514500,945690,4746040
Kensylus Medical Center,,,,1294720,80640,840000,,900000
Kentmere Annex,"540,000",,,,,,,
KENYAGORO DISPENSARY,,,,10000,,30000,,130000
KENYATTA NATIONAL HOSPITAL(AMENITY WING),,8816680,5437271,5180210,4075601,6292341,,9439126
KENYATTA NATIONAL HOSPITAL(GENERAL WING),60110670,48068746,101826080,57857623,12433197,49174424,16783621,33582888
KENYATTA UNIVERSITY TEACHING REFERRAL AND RESEARCH HOSPITAL,42345868,30827956,79073115,27922339,11726701,21421629,19631877,25106433
Kenyenya Medical Centre (Kenyenya),"172,480",26880,201600,237440,103040,530880,42560,665280
Kenyenya Sub County Hospital,,,246000,174800,81360,253440,42560,572160
Kenyoro Dispensary,,,,10000,,,,
Kenyoro Health Centre,,,10000,10000,10000,96880,,52560
KERICHO COUNTY REFERRAL HOSPITAL,,10816957,10998970,5317300,4348800,9355450,945540,10582570
KERINGET NURSING HOME LTD,,,,30000,,160000,,190000
Keringet Sub County Hospital,,,240000,210000,40000,380000,,530000
KERIO HEALTH CENTRE,,,,48960,,1164560,,662880
Kerugoya County Refferal Hospital,2262840,1447470,5110390,3980350,2617350,4684760,1139960,9167500
Kerugoya Fortis Medical and Cancer Centre,"1,271,690",649110,2131020,2342869,436570,775320,576740,1153840
KERUGOYA FORTIS MEDICAL AND CANCER CENTRE (TOWN ANNEX),,,,,138450,308850,,149100
KERUGOYA MEDICAL CENTRE,10650,6082428,5451069,2524001,1082977,4622816,4578580,5372980
Kesses Health Centre,130000,,270000,70000,40000,20000,130000,110000
KEYIAN SDA MEDICAL CLINIC,,,10000,,,,,
Keylife Medical Centre,,,,,143360,468720,,1128760
Khairat Medical Centre,"184,720",55761,1012480,665200,295680,1101840,141200,1585760
Khalaba Health Centre,,,232800,220560,62720,442000,,266960
Khalaba Medical Services,"909,440",87360,1366240,1026160,675120,1961680,336400,1674800
Khalala Dispensary,,,10000,30000,10000,,20000,
Khalalio Health Centre,,,30000,100000,60000,208960,20000,353600
Khamulati Medical Clinic,,,64960,94080,22400,190400,,179200
Khaoya Dispensary,,,10000,30000,20000,70000,,10000
Kharanda Dispensary,,,20000,60000,10000,70000,,60000
Khasoko Health Centre,,,,10000,,40000,,110000
KHAUNGA DISPENSARY,,,40000,120000,90000,220000,,210000
Khayega Medical Clinic,"168,000",19600,378560,322560,147840,504000,78400,517440
Khorof Harar nursing Home Limited,"197,440",11840,362880,548800,127680,291200,42560,795200
KHOROF HARAR SUB-DISTRICT HOSPITAL,,,50000,,20000,80000,,20000
Khunyangu Sub County Hospital,,,117920,163760,6720,213600,30160,581840
Khwisero Level IV Hospital,"141,670",,301290,332180,175440,767928,12720,1402890
Kiambere Dam Dispensary,,,,30000,,20000,10000,10000
Kiambere Medical Healthcare Limited,"1,028,160",287620,831040,806400,385280,888080,43760,1403280
Kiambu County Referal Hospital,1784120,572843,4458760,3467680,1242480,6106880,5719320,7717440
Kiamokama Health Centre,,,,20000,,,,
KIAMUTUGU HEALTH CENTRE,,,10000,10000,60000,,10000,66720
Kianda 42 Hospital,,,10000,100000,90000,70000,,70000
Kiandutu Health Centre,,,,42500,,,,10000
Kiangachinyi Dispensary,,,,,10000,10000,,
Kiangai Health Centre,,,,10000,,,20000,20000
Kianjokoma Health Centre,"33,440",,10000,,10000,71500,,207200
Kianyaga Sub-County Hospital,"163,440",67200,587330,429910,184150,794110,,1451500
KIARUTA HEALTH CENTRE,,,,,10000,,,
KIASA DISPENSARY,,,,,10000,,,
Kibandaongo Dispensary,"20,000",,40000,20000,,,30000,60000
Kibendo Health Centre,,,30000,10000,10000,,,30000
KIBERA AMREF HEALTH CENTRE,,,30000,130000,20000,170000,,210000
Kibera South Health Centre,,,60000,40000,10000,,60000,50000
KIBINGEI DISPENSARY,,,,10000,20000,,,130000
KIBIRICHIA SUB DISTRICT HOSPITAL,,,20000,30000,,50000,,30000
Kibirigwi Health Centre,"30,000",,20000,60000,,70000,,60000
KIBOGO DISPENSARY,"10,000",20000,10000,,,,,10000
KIBOKO DISPENSARY (MAKINDU),,,,10000,,,,
KIBOS SUGAR DISPENSARY,,,,10000,,,,
Kibugu Health Centre,,,,10000,,,,10000
Kibwareng Health Centre,"20,000",,130000,82240,64480,84480,,180000
Kibwezi Sub County Hospital,"187,440",30000,1637530,705600,400680,1452460,406640,2543340
KIDAO FAMILY CLINIC,,,81680,67040,64960,675280,,415440
Kidney Aid Dialisis Center Limited,,,1491000,660300,127800,702900,649650,905250
KIENI MODEL HEALTH CENTRE,,9500,,,,,,
KIGANJO HEALTH CENTRE,,,30000,,30000,10000,20000,
Kigumo LeveL 4 Hospital Githunguri,"10,000",,39998,,20000,,,20000
Kihara Sub County Hospital,,,217120,343360,70000,780240,,966880
Kijanaheri Medical Clinic (Marereni),"289,120",90000,799040,252320,108240,40000,245440,163440
Kijauri Sub County Hospital,"255,120",43680,1014039,496320,379040,365600,281680,1576720
Kikoko Mission Hospital,"120,960",45060,386750,237760,161280,236460,245000,533960
Kikoneni Health Centre,,,110000,30000,20000,70000,,160000
Kilala Health Centre,,,50000,60000,,,50000,40000
KILIFI DISTRICT HOSPITAL,,,10000,,,10000,,20000
KILIMANGONDO DISPENSARY,,,22200,,,,10700,
Kilimani Assessment Center,,,,4480,,38080,11200,29120
Kilingili Health Centre,,,60000,10000,,50000,20000,180000
Kiliweheri Health Centre,,,,90320,87360,74800,,382900
Kilungu Sub County Hospital,"400,880",163520,552580,547520,10000,830800,,1273040
Kima Mission Hospital,"1,034,730",228364,1532400,1709520,514080,3514160,,4367760
KIMAETI HEALTH CENTRE,"286,720",170000,515840,164580,130960,601440,,408000
KIMALEL HEALTH CENTER,"4,480",,20000,,,60000,,90001
KIMANA HEALTH CENTRE,"10,000",,10000,,,50000,,30000
Kimathi medical services -karaba,"141,120",39300,456960,561120,248640,584640,77280,1105360
KIMBIMBI SUB-COUNTY HOSPITAL,"340,250",252000,2104799,703600,319040,2043120,,1226640
Kimende Orthodox Mission Health Centre,,,10000,50000,10000,80000,,30000
Kimilili Subcounty Hospital,,,400720,660640,292000,1630080,,1783760
KIMININI COTTAGE MISSION HOSPITAL,,,,,2449360,8526560,,1694240
Kimiti Level 4 Hospital,,,66880,96720,20000,53600,70000,100000
Kimnai Dispensary,"80,000",,160000,130000,,40000,80000,220000
Kinagoni Dispensary,90000,,120000,50000,,50000,40000,60000
Kinango Sub County Hospital,"273,121",127200,807040,297200,255280,714580,93520,1297600
Kinara Hospital,"97,440",77000,335760,208240,84000,1262880,161200,459760
KINARANI DISPENSARY,,,30000,10000,,20000,,40000
King David Hospital,"30,810",52680,549790,283930,235810,460680,,771450
Kingdom Faith Based Hospital,,,95840,32623,50320,252960,,143040
KINGS CARE MEDICAL LIMITED,,,,271040,683200,434560,,268800
KING'S NURSING AND MATERNITY HOME,,,,311360,156800,1489600,,358400
Kinoro Sub-District Hospital,,,,13440,,10000,,6720
Kiogoro Health Centre,,,12240,10000,,30000,,4480
Kionyo Dispensary,36960,102300,97200,16800,33600,,,16800
Kionyo Health Centre,,,40000,20000,,40000,,80000
Kipchimchim M Hospital,"13,440",,45680,11200,54809,82400,19120,94800
KIPKABUS HEALTH CENTRE,,,10000,20000,,,,40000
Kipkelion Sub County Hospital,"20,000",50000,270000,250000,30000,110000,90000,392560
KIPSARAMAN DISPENSARY,,,30000,10000,,60000,,230000
Kipsigak Health Centre,,,20000,,,,,
Kipsonoi Health Centre,,,30000,40000,10000,20000,20000,60000
Kiptagich Health Centre,,,10000,30000,10000,20000,10000,40000
KIPTANGWANYI DISPENSARY,,,,90000,30000,140000,,220000
KIPTERE HEALTH CENTRE,,,10000,10000,,,,
KIPWASTUIYO HEALTH CENTRE,,,,,10000,10000,,
Kiria-Ini Mission Hospital,2088237,400364,5005117,2097520,1139776,5022381,118697,4210743
KIRIMA DISPENSARY,,,450,,,,,
Kirinyaga Treatment Centre,2622050,1539825,3664250,3779200,1276480,5073840,304880,5546080
Kiritiri Health Centre,,,110000,130000,44480,80000,42240,130000
Kiritiri Medical Healthcare,"82,880",,387520,362880,230720,1008000,29120,1370880
KIROGO HEALTH CENTRE,,,,,10000,10000,,
Kirwara Sub County Hospital,,,53520,240880,164560,662000,,331000
Kisanana Health Centre,,,10000,10000,,10000,,80000
Kisau Sub County Hospital,"143,780",141430,236800,124160,80400,194320,44380,594900
KISAYANI DISPENSARY,,,,,10000,,,
kisayani health centre,"24,500",,10000,10000,,,,10000
Kisegi Sub-District Hospital,"67,200",211680,1774000,1988880,803040,4949280,,5574160
KISESINI DISPENSARY,,,,10000,,70000,,30000
Kisii Specialist Hospital LTD,"787,150",367458,3811520,1374880,280000,1624360,650240,1591960
KISII TEACHING AND REFERRAL HOSPITAL,11345477,3359440,20197321,12255460,5819899,13206190,3303790,20412470
Kisima Diagnostic & Treatment Centre,"145,600",63900,188160,301200,143360,435600,,653760
KISIMA HEALTH CENTRE,,,50000,90000,,10000,20000,240000
KISOR DISPENSARY,,,,40000,,20000,,10000
Kisumu Specialist Hospital,"246,400",24000,542080,901320,47040,164400,207000,382480
KITALE COUNTY HOSPITAL,,,,20000,,10000,,
Kitale County Referral Hospital,,,572097,277250,202700,479600,234300,502450
KITARE HEALTH CENTRE,"14,050",,5200,20000,,50000,,
KITENDE DISPENSARY,,,,10000,,10000,,
KITENGELA MEDICAL SERVICES,,1469705,3427760,2486320,419360,4148040,,3435120
Kitengela Medical Services Kajiado,"106,935",202830,303840,113680,57120,671200,,823506
Kitengela Star of The Sea Medical Services,,,,,15680,22400,,37920
Kitengela sub-county hospital,"106,799",,824880,493920,303440,1407200,88480,2527050
Kitengela West Hospital,"1,753,320",713550,3430300,1287510,368250,2625760,524420,3674700
KITHEUNI DISPENSARY,,,,20000,,10000,10000,
KITHUNI DISPENSARY,,,,10000,,,,
KITHYOKO HEALTH CENTRE,,,,140000,,120000,20000,90000
KITHYULULU HEALTH CENTRE,,,,10000,10000,,,
KITISE HEALTH CENTRE,,,21200,,,,,20000
Kitobo Dispensary (Taveta),,,,10000,,10000,10000,20000
Kitui County Referral Hospital,4636121,1964808,11943185,6201653,4844110,12035859,595753,15018780
KITUNDU (GOK) DISPENSARY,,,10000,,20000,10000,,10000
KITUNI DISPENSARY,,,10000,10000,,,,20000
Kiumbu Health Centre,"10,000",,,,,10000,,60000
Kiunga Health Centre,"99,720",10105,182320,191440,79440,667520,,726320
KIUSYANI MEDICATE LIMITED,,,,10000,10000,254160,,64960
KIVAA HEALTH CENTRE,,,,,10000,10000,,80000
KIVAANI HEALTH CENTRE,,,,10000,,10000,,20000
Kiwamu Dispensary,,,110000,60000,,40000,30000,60000
Kiwandani Dispensary,"20,000",,140000,,20000,50000,160000,120000
Kizibe Dispensary,"40,000",,60000,20000,10000,20000,,30000
Kizingitini Dispensary,,,,,10000,,,
Kizingo Health Centre,,,,,20000,,20000,10000
Kobujoi Mission Health Centre,"3,360",,73760,,113920,274240,147120,455520
KOBUJOI MISSION HOSPITAL,,,20000,20000,,30000,10000,20000
Kocholwo Sub County Hospital,,,92240,50000,35680,70000,40000,157920
KOILOT HEALTH CENTRE,,,,,10000,,,20000
KOIWA HEALTH CENTRE,,,,10000,,10000,,50000
Kojwach Medical Centre,"4,480",,360640,591360,159040,1122240,69440,1691200
Kokotoni Dispensary,,,10000,20000,,,10000,20000
Kokwanyo Health Centre,,,10000,10000,,,30000,50000
Kokwet Medical Clinic,,,30000,30000,10000,,20000,158960
Kolani Dispensary,,,20000,,10000,,20000,
Kolanya Salvation Army Health Centre,,,266560,143360,103040,293120,,431840
Kolunga Health Centre,"23,520",,211680,231840,100800,493760,,1135440
Komarock Healthcare-Kathwana,"979,440",666520,2899590,2109460,829620,5075400,,5388180
Komarock Modern Health Care Chuka,,,,,933360,4178100,,1715020
Komarock Morden Medical Care,"38,080",15680,148240,140320,25680,196880,,288720
Kombewa County Referral Hospital,"770,560",373520,1104800,611200,284720,1154720,,1110640
KONGONI HEALTH CENTRE,,,,10000,,,,30000
Konjora Dispensary,"10,000",,10000,10000,,20000,,100000
KONTON DISPENSARY,"30,000",,,,,40000,,
KONYAO HEALTH CENTRE,,,,,30000,70000,,112240
KOPSIRO MODEL HEALTH CENTRE,,,15680,,,36880,2240,133760
Korogocho Health Centre,20000,,110000,60000,20000,10000,40000,170000
Koromey Dispensary,,,,,60000,160000,,110000
KORONDILE HEALTH CENTRE,"10,500",,44000,10000,20000,120000,,60000
Korosiandet Health Centre,10000,,106720,76720,12240,117920,2240,176880
Koru Dispensary,,,40000,,,,20000,
Koru Mission Health Centre,"36,960",,399760,204960,238560,664880,,520000
Kory Family Hospital Kimilili,"863,200",408600,835130,553560,332790,1360440,68670,1953010
KOTULO MEDICARE,,,,280000,656320,776960,,816400
Kotulo Sub-County Referral Hospital,"57,120",,497280,194880,36880,204480,77520,510240
KOWINO DISPENSARY,,,900,,,,,
KUGE HEALTH CENTRE,,,33600,110800,293440,,22400,22400
Kuoyo Health Center,20000,,93440,180000,,,50000,170000
Kurangurik Health centre,,,20000,10000,,170000,,292240
KURESOI HEALTH CENTRE,,,,30000,,,,60000
KUTAYU DISPENSARY,,,,40000,10000,210000,,260000
Kutus Dispensary,"30,000",,50000,10000,,10000,10000,20000
Kuvasali Health Centre,,,20000,10000,30000,20000,30000,60000
Kwa Murimi,"51,200",,130480,142400,44640,314880,,358880
Kwale Health Centre,,,30000,20000,,30000,,20000
Kwale Sub County Hospital,"571,200",307600,791860,783360,251200,820800,139360,1720160
KWA-MNENGWA DISPENSARY,,,,10000,,,10000,
KWANZA SUB COUNTY HOSPITAL,,,40000,50000,10000,120000,,120000
Kyambeke Health Centre,,,60000,10000,,30000,,30000
KYANGUNGA DISPENSARY,,,225,,,,,
Kyatune Health Centre,,,,10000,10000,30000,,30000
Kyau Dispensary,,,,10000,,,,
KYUASINI HEALTH CENTRE,,,10000,,,,,
Kyuso Sub County Hospital,186880,,213920,34640,34480,410960,880,159440
LAARE HEALTH CENTRE,"22,400",,122400,20000,10000,70000,,170000
Laare Maternity,"105,280",,150080,201600,97360,378560,,389760
Labiba Nursing Home,,,,1261120,147840,1180480,,531760
LADNAN HOSPITAL,313600,106920,190400,52788410,2195130,8341170,,2431240
Ladnan Medical Clinic,"970,110",1136440,2993970,1322220,412830,2939490,,3177390
Ladopharma Medical Center,"89,600",138320,1582560,1579200,719040,2892960,,3655680
LADOPHARMA MEDICAL CENTRE-MASARA LTD,,,,499520,732480,907200,,664080
Ladopharma Nursing Home Ltd-Rongo,"299,040",33600,618765,527520,147840,356160,57120,640640
Lafaley Dispensary,"10,000",,30000,,,,,
LAFEY SUB-COUNTY HOSPITAL,,,,94080,30240,240960,,571440
LAFEYCARE NURSING HOME LIMITED,,,,,1048320,605840,,585519
Lagsure Dispensary,,,50000,50000,10000,100000,20000,60000
LAILA MEDICAL CENTRE,,,,30000,,30000,,10000
Laisamis Sub county Referral Hospital(Marsabit South),,,56880,194800,20000,93520,13360,458880
LakeSide Integrated Medical Services(Naivasha),"142,160",92880,159040,137680,130960,296720,15680,228480
Lakole Medical Centre,,,217280,383040,192640,739200,,743680
LAMBWE DISPENSARY,,,10000,10000,10000,,,42240
Lamheal Maternity & Nursing Home,"472,640",70480,1517520,1535440,869120,4189840,,4150400
LAMU COUNTY REFERRAL HOSPITAL,,641940,2649670,568680,482860,1248830,684580,2192020
LAMURIA HEALTH CENTRE,,,,,40000,40000,,20000
Lanet Health Centre,"240,000",160000,500000,160000,100000,501000,10000,530000
Langa Langa Dispensary,70000,50000,80000,60000,,140000,10000,160000
LANGATA HEALTH CENTRE,,90000,250000,120000,40000,160000,,190000
Langata Hospital,"188,160",62667,161280,124320,67200,20160,84000,70560
Langoni Hospital Limited,"33,600",10080,60480,20160,33600,40320,30240,94080
Lare Health Centre,,,50000,20000,10000,40000,10000,190000
Lari Hospital,"90,000",,570000,30000,10000,850000,,500000
Le Maiyan medical centre ltd,"1,638,480",344480,2708960,1034640,344880,123600,606960,
LEBEN MEDICAL SERVICES SHAMBERERE,,,106200,,,,,
Legacy Family Health Option Mulot,,,,241760,8960,212480,,216960
Lelmolok Nursing Home,,,24640,20160,4440,165680,,64640
Lemotit Dispensary,,,10000,,,,,20000
Lengo Medical Clinic,,,40000,30000,30000,30000,20000,100480
lenmek healthcare Annex Magenche,"170,240",,238480,401840,129920,413200,,576560
Lenmek Hospital,"1,996,360",132760,3240410,2063700,356760,6197390,,14070870
LeseruTrinity Mission Hospital,"89,600",,221600,647360,,1176590,539330,217390
Leshau Pondo Health Centre,,,,,10000,,10000,10000
LESSOS COMMUNITY DISPENSARY,,,60000,10000,15300,135000,,170000
LESSOS MEDICAL CLINIC,,,13440,11200,,10000,,
Lianas Clinic Health Centre,46880,,70000,90000,22240,131200,,121200
LIBEHIA HEALTHCARE SERVICE LIMITED,,,,342720,31360,383040,,172480
Libehiya Health Center,,,313680,62720,,785360,,298560
LIBERTY CANCER AND WELLNESS CENTRE,,,,,7419279,777877,483007,
Liberty Maternity and Nursing Home,"100,000",6720,120000,111200,,192240,,207920
LIDHA DISPENSARY,,,,10000,,10000,,30000
Life Poise Hospital,,,,,150000,460000,,150000
LIFECARE HOSPITAL LIMITED-KIKUYU,,,,,1827490,7148540,,1534200
LIFECARE HOSPITAL MIGORI,,2824470,3101010,1258970,267360,3180060,471458,3146870
LIFECARE HOSPITAL-ELDORET LIMITED,,,,,4624759,20069239,,2058200
LIFECARE HOSPITALS BUNGOMA LIMITED,,,,,5332560,19411572,,3720000
LIFECARE HOSPITALS MERU,,,,597470,2661030,2543849,,943970
LIFEPOINT HOSPITAL LIMITED,,,243000,,,,,
Likindu Dispensary,,,40000,50000,,20000,,190000
Likoni Catholic Hospital,"6,720",,40320,56000,29120,67200,,124080
Likoni Subcounty Hospital,,,120000,203360,100000,507360,,1133680
Likuyani Sub-County Hospital,"50,000",,450320,283760,160480,844640,168440,1168400
